esquema,tabla,columnas_en_tabla,pos,columna,tipo,nullable,defecto,es_pk,es_fk,fk_ref_esquema,fk_ref_tabla,fk_ref_columna
public,announcements,9,1,id,uuid,NO,gen_random_uuid(),True,False,,,
public,announcements,9,2,college_id,uuid,NO,,False,True,public,colleges,id
public,announcements,9,3,title,text,NO,,False,False,,,
public,announcements,9,4,content,text,NO,,False,False,,,
public,announcements,9,5,target_type,text,NO,'all'::text,False,False,,,
public,announcements,9,6,target_id,uuid,YES,,False,False,,,
public,announcements,9,7,is_published,boolean,NO,false,False,False,,,
public,announcements,9,8,created_by,uuid,NO,,False,False,,,
public,announcements,9,9,created_at,timestamp with time zone,NO,now(),False,False,,,
public,attendance,7,1,user_id,uuid,NO,auth.uid(),False,False,,,
public,attendance,7,2,class_id,uuid,NO,,False,True,public,classes,id
public,attendance,7,3,student_id,uuid,NO,,False,True,public,students,id
public,attendance,7,4,date,date,NO,,False,False,,,
public,attendance,7,5,status,text,NO,,False,False,,,
public,attendance,7,6,created_at,timestamp with time zone,NO,now(),False,False,,,
public,attendance,7,7,nota,text,YES,,False,False,,,
public,categories,4,1,id,uuid,NO,gen_random_uuid(),True,False,,,
public,categories,4,2,user_id,uuid,YES,,False,False,,,
public,categories,4,3,name,text,NO,,False,False,,,
public,categories,4,4,created_at,timestamp with time zone,YES,now(),False,False,,,
public,class_skills,4,1,id,uuid,NO,gen_random_uuid(),True,False,,,
public,class_skills,4,2,owner_id,uuid,YES,,False,False,,,
public,class_skills,4,3,class_id,uuid,YES,,False,True,public,classes,id
public,class_skills,4,4,skill_id,uuid,YES,,False,True,public,skills,id
public,class_students,5,1,id,uuid,NO,gen_random_uuid(),True,False,,,
public,class_students,5,2,owner_id,uuid,YES,,False,False,,,
public,class_students,5,3,class_id,uuid,YES,,False,True,public,classes,id
public,class_students,5,4,student_id,uuid,YES,,False,True,public,students,id
public,class_students,5,5,created_at,timestamp with time zone,YES,now(),False,False,,,
public,classes,5,1,id,uuid,NO,gen_random_uuid(),True,False,,,
public,classes,5,2,user_id,uuid,YES,auth.uid(),False,False,,,
public,classes,5,3,college_id,uuid,YES,,False,True,public,colleges,id
public,classes,5,4,name,text,NO,,False,False,,,
public,classes,5,5,created_at,timestamp with time zone,YES,now(),False,False,,,
public,colleges,6,1,id,uuid,NO,gen_random_uuid(),True,False,,,
public,colleges,6,2,user_id,uuid,YES,,False,False,,,
public,colleges,6,3,name,text,NO,,False,False,,,
public,colleges,6,4,created_at,timestamp with time zone,YES,now(),False,False,,,
public,colleges,6,5,city,text,YES,,False,False,,,
public,colleges,6,6,created_by,uuid,YES,,False,False,,,
public,memberships,7,1,id,uuid,NO,uuid_generate_v4(),True,False,,,
public,memberships,7,2,school_id,uuid,NO,,False,True,public,colleges,id
public,memberships,7,3,user_id,uuid,NO,,False,False,,,
public,memberships,7,4,role,text,NO,'member'::text,False,False,,,
public,memberships,7,5,joined_at,timestamp with time zone,YES,now(),False,False,,,
public,memberships,7,6,created_at,timestamp with time zone,YES,now(),False,False,,,
public,memberships,7,7,updated_at,timestamp with time zone,YES,now(),False,False,,,
public,payments,22,1,id,uuid,NO,uuid_generate_v4(),True,False,,,
public,payments,22,2,user_id,uuid,NO,,False,False,,,
public,payments,22,3,payment_type,text,NO,,False,False,,,
public,payments,22,4,student_id,uuid,YES,,False,True,public,students,id
public,payments,22,5,school_id,uuid,YES,,False,True,public,colleges,id
public,payments,22,6,class_id,uuid,YES,,False,True,public,classes,id
public,payments,22,7,amount,numeric,NO,,False,False,,,
public,payments,22,8,currency,text,YES,'EUR'::text,False,False,,,
public,payments,22,9,concept,text,NO,,False,False,,,
public,payments,22,10,description,text,YES,,False,False,,,
public,payments,22,11,period_start,date,YES,,False,False,,,
public,payments,22,12,period_end,date,YES,,False,False,,,
public,payments,22,13,status,text,NO,'pending'::text,False,False,,,
public,payments,22,14,due_date,date,NO,,False,False,,,
public,payments,22,15,paid_date,date,YES,,False,False,,,
public,payments,22,16,payment_method,text,YES,,False,False,,,
public,payments,22,17,payment_reference,text,YES,,False,False,,,
public,payments,22,18,invoice_number,text,YES,,False,False,,,
public,payments,22,19,invoice_date,date,YES,,False,False,,,
public,payments,22,20,notes,text,YES,,False,False,,,
public,payments,22,21,created_at,timestamp with time zone,YES,now(),False,False,,,
public,payments,22,22,updated_at,timestamp with time zone,YES,now(),False,False,,,
public,profiles,9,1,id,uuid,NO,,True,False,,,
public,profiles,9,2,email,text,YES,,False,False,,,
public,profiles,9,3,full_name,text,YES,,False,False,,,
public,profiles,9,4,avatar_url,text,YES,,False,False,,,
public,profiles,9,5,updated_at,timestamp with time zone,YES,now(),False,False,,,
public,profiles,9,6,settings,jsonb,YES,"'{""language"": ""es"", ""timezone"": ""Europe/Madrid"", ""dark_mode"": true, ""email_updates"": true, ""notifications"": true}'::jsonb",False,False,,,
public,profiles,9,7,notification_preferences,jsonb,YES,"'{""student_progress"": true, ""attendance_alerts"": true, ""payment_reminders"": true, ""tournament_updates"": true, ""system_notifications"": true}'::jsonb",False,False,,,
public,profiles,9,8,privacy_settings,jsonb,YES,"'{""show_email"": false, ""show_phone"": false, ""profile_visibility"": ""private""}'::jsonb",False,False,,,
public,profiles,9,9,ui_preferences,jsonb,YES,"'{""auto_refresh"": true, ""compact_mode"": false, ""items_per_page"": 20, ""dashboard_layout"": ""default""}'::jsonb",False,False,,,
public,skills,7,1,id,uuid,NO,gen_random_uuid(),True,False,,,
public,skills,7,2,user_id,uuid,YES,auth.uid(),False,False,,,
public,skills,7,3,category_id,uuid,YES,,False,True,public,categories,id
public,skills,7,4,name,text,NO,,False,False,,,
public,skills,7,5,icon,text,YES,,False,False,,,
public,skills,7,6,resource_link,text,YES,,False,False,,,
public,skills,7,7,created_at,timestamp with time zone,YES,now(),False,False,,,
public,student_skills,5,1,student_id,uuid,NO,,True,True,public,students,id
public,student_skills,5,2,skill_id,uuid,NO,,True,True,public,skills,id
public,student_skills,5,3,user_id,uuid,YES,auth.uid(),False,False,,,
public,student_skills,5,4,mastered_at,timestamp with time zone,YES,now(),False,False,,,
public,student_skills,5,5,completed_at,timestamp with time zone,YES,,False,False,,,
public,students,9,1,id,uuid,NO,gen_random_uuid(),True,False,,,
public,students,9,2,user_id,uuid,YES,auth.uid(),False,False,,,
public,students,9,3,class_id,uuid,YES,,False,True,public,classes,id
public,students,9,4,name,text,NO,,False,False,,,
public,students,9,5,avatar,text,YES,,False,False,,,
public,students,9,6,created_at,timestamp with time zone,YES,now(),False,False,,,
public,students,9,7,first_name,text,YES,,False,False,,,
public,students,9,8,last_name,text,YES,,False,False,,,
public,students,9,9,notes,text,YES,,False,False,,,
public,subscription_payments,17,1,id,uuid,NO,uuid_generate_v4(),True,False,,,
public,subscription_payments,17,2,user_id,uuid,NO,,False,False,,,
public,subscription_payments,17,3,subscription_id,uuid,YES,,False,True,public,user_subscriptions,id
public,subscription_payments,17,4,plan_id,uuid,NO,,False,True,public,subscription_plans,id
public,subscription_payments,17,5,amount,numeric,NO,,False,False,,,
public,subscription_payments,17,6,currency,text,YES,'EUR'::text,False,False,,,
public,subscription_payments,17,7,payment_method,text,NO,,False,False,,,
public,subscription_payments,17,8,payment_reference,text,YES,,False,False,,,
public,subscription_payments,17,9,payment_email,text,YES,,False,False,,,
public,subscription_payments,17,10,status,text,NO,'pending'::text,False,False,,,
public,subscription_payments,17,11,paid_at,timestamp with time zone,YES,,False,False,,,
public,subscription_payments,17,12,failed_at,timestamp with time zone,YES,,False,False,,,
public,subscription_payments,17,13,refunded_at,timestamp with time zone,YES,,False,False,,,
public,subscription_payments,17,14,gateway_response,jsonb,YES,'{}'::jsonb,False,False,,,
public,subscription_payments,17,15,notes,text,YES,,False,False,,,
public,subscription_payments,17,16,created_at,timestamp with time zone,YES,now(),False,False,,,
public,subscription_payments,17,17,updated_at,timestamp with time zone,YES,now(),False,False,,,
public,subscription_plans,17,1,id,uuid,NO,uuid_generate_v4(),True,False,,,
public,subscription_plans,17,2,name,text,NO,,False,False,,,
public,subscription_plans,17,3,display_name,text,NO,,False,False,,,
public,subscription_plans,17,4,description,text,YES,,False,False,,,
public,subscription_plans,17,5,price_annual,numeric,NO,,False,False,,,
public,subscription_plans,17,6,currency,text,YES,'EUR'::text,False,False,,,
public,subscription_plans,17,7,max_students,integer,YES,'-1'::integer,False,False,,,
public,subscription_plans,17,8,max_classes,integer,YES,'-1'::integer,False,False,,,
public,subscription_plans,17,9,max_colleges,integer,YES,'-1'::integer,False,False,,,
public,subscription_plans,17,10,max_tournaments,integer,YES,'-1'::integer,False,False,,,
public,subscription_plans,17,11,max_storage_mb,integer,YES,'-1'::integer,False,False,,,
public,subscription_plans,17,12,max_custom_skills,integer,YES,'-1'::integer,False,False,,,
public,subscription_plans,17,13,features,jsonb,YES,'[]'::jsonb,False,False,,,
public,subscription_plans,17,14,is_active,boolean,YES,true,False,False,,,
public,subscription_plans,17,15,sort_order,integer,YES,0,False,False,,,
public,subscription_plans,17,16,created_at,timestamp with time zone,YES,now(),False,False,,,
public,subscription_plans,17,17,updated_at,timestamp with time zone,YES,now(),False,False,,,
public,tournament_matches,12,1,id,uuid,NO,uuid_generate_v4(),True,False,,,
public,tournament_matches,12,2,tournament_id,uuid,NO,,False,True,public,tournaments,id
public,tournament_matches,12,3,round_number,integer,NO,,False,False,,,
public,tournament_matches,12,4,white_player_id,uuid,NO,,False,True,public,tournament_participants,id
public,tournament_matches,12,5,black_player_id,uuid,NO,,False,True,public,tournament_participants,id
public,tournament_matches,12,6,result,text,YES,,False,False,,,
public,tournament_matches,12,7,game_date,timestamp with time zone,YES,,False,False,,,
public,tournament_matches,12,8,time_control,text,YES,,False,False,,,
public,tournament_matches,12,9,moves,text,YES,,False,False,,,
public,tournament_matches,12,10,notes,text,YES,,False,False,,,
public,tournament_matches,12,11,created_at,timestamp with time zone,YES,now(),False,False,,,
public,tournament_matches,12,12,updated_at,timestamp with time zone,YES,now(),False,False,,,
public,tournament_participants,14,1,id,uuid,NO,uuid_generate_v4(),True,False,,,
public,tournament_participants,14,2,tournament_id,uuid,NO,,False,True,public,tournaments,id
public,tournament_participants,14,3,student_id,uuid,NO,,False,True,public,students,id
